title,price_idr,city,district,bedrooms,bathrooms,garage,land_size_m2,building_size_m2,scraped_at
Turun Harga Rumah Mewah Luas 600 Di Danau Indah Barat Sunter Shm,15500000000.0,Jakarta Utara,Sunter,7.0,7.0,6.0,600.0,760.0,2026-04-28T06:12:13.801539+00:00
"Rumah Siap Huni Bagus Gading Orchard Kelapa Gading, Jakarta Utara",16000000000.0,Jakarta Utara,Kelapa Gading,7.0,6.0,3.0,579.0,313.0,2026-04-28T06:12:16.278989+00:00
Brand New Rumah Pik2,1780000000.0,Jakarta Utara,Pantai Indah Kapuk 2,2.0,1.0,1.0,60.0,79.0,2026-04-28T06:12:23.490602+00:00
Jual Murah Rumah Pik2 Furnished,1600000000.0,Jakarta Utara,Pantai Indah Kapuk 2,2.0,1.0,1.0,60.0,73.0,2026-04-28T06:12:25.935665+00:00
Rumah Brand New Muara Karang Bagus dan Siap Huni,4800000000.0,Jakarta Utara,Muara Karang,5.0,3.0,,120.0,200.0,2026-04-28T06:12:29.197144+00:00
Good Deal! Rumah Cantik Full Furnished 10X20 di Concerto Beach Golf Island Pik,8500000000.0,Jakarta Utara,Golf Island,3.0,3.0,,200.0,200.0,2026-04-28T06:12:31.932543+00:00
Rumah Gading Pandawa Bagus Semi Furnish Siap Huni Kelapa Gading,3800000000.0,Jakarta Utara,Kelapa Gading,4.0,4.0,2.0,120.0,172.0,2026-04-28T06:12:35.136452+00:00
"Sunter Agung 2 Lantai Siap Huni .Harga 3,5M Masih Nego Jarang Ada",3500000000.0,Jakarta Utara,Sunter,5.0,3.0,2.0,127.0,243.0,2026-04-28T06:12:39.506791+00:00
Rumah 2 Lantai Dijual Pik 2 Cluster Simprug Boulevard - 450M2,19000000000.0,Jakarta Utara,Pantai Indah Kapuk 2,5.0,5.0,4.0,450.0,396.0,2026-04-28T06:12:42.816348+00:00
Rumah Brand New 3 Lantai Dijual Golf Island Serenade Pik - 240M2,11800000000.0,Jakarta Utara,Pantai Indah Kapuk,6.0,4.0,6.0,240.0,450.0,2026-04-28T06:12:46.501631+00:00
Rumah Bagus Dalam Komplek Sunter Agung Lebar 7 Hadap Timur,4500000000.0,Jakarta Utara,Sunter,6.0,6.0,2.0,119.0,252.0,2026-04-28T06:12:50.918981+00:00
"Dijual Rumah Cluster Cleveland, Pik2",2300000000.0,Jakarta Utara,Pantai Indah Kapuk 2,3.0,2.0,1.0,60.0,200.0,2026-04-28T06:12:54.701083+00:00
"Rumah Pluit Putri.11x20, Murah, Jarang.ada, Siap Huni",4800000000.0,Jakarta Utara,Pluit,3.0,2.0,,220.0,200.0,2026-04-28T06:12:59.948053+00:00
Dijual Harga Miring Rumah Golf Island Mozart 3Br Semifurnished,8800000000.0,Jakarta Utara,Golf Island,3.0,3.0,2.0,160.0,261.0,2026-04-28T06:13:03.151858+00:00
"Rumah Minimalis 2 Lantai di Kelapa Puan Kelapa Gading, Jakarta Utara",3500000000.0,Jakarta Utara,Kelapa Gading,4.0,4.0,2.0,102.0,144.0,2026-04-28T06:13:06.886027+00:00
"Rumah Hoek Jual Cepat Harga Hitung Tanah Aja di Kelapa Nias, Kelapa Gading",5500000000.0,Jakarta Utara,Kelapa Gading,4.0,5.0,,289.0,300.0,2026-04-28T06:13:09.318357+00:00
"Rumah Royal Gading Mansion, Kelapa Gading",5300000000.0,Jakarta Utara,Kelapa Gading,4.0,3.0,,181.0,,2026-04-28T06:13:12.649939+00:00
Jual Murah Rumah Baru di Chopin Golf Island Pik,21000000000.0,Jakarta Utara,Pantai Indah Kapuk,5.0,5.0,3.0,350.0,600.0,2026-04-28T06:13:16.509265+00:00
"Dijual Rumah Mewah 2 Lantai, Luxury Classic Modern di Villa Gading Indah",19000000000.0,Jakarta Utara,Kelapa Gading,6.0,7.0,4.0,312.0,550.0,2026-04-28T06:13:19.543758+00:00
Rumah Mewah Siap Huni Bukit Golf Mediterania Pik,11500000000.0,Jakarta Utara,Pantai Indah Kapuk,6.0,6.0,3.0,325.0,263.0,2026-04-28T06:13:21.455990+00:00
Dijual Rumah Brand New di Florence Pik. Luas 13X20m,13500000000.0,Jakarta Utara,Pantai Indah Kapuk,3.0,3.0,2.0,260.0,600.0,2026-04-28T06:13:23.858548+00:00
Rumah Sedayu City Gading Full Furnished Baru Cluster Eropa,5400000000.0,Jakarta Utara,Kelapa Gading,2.0,3.0,,100.0,150.0,2026-04-28T06:13:26.567671+00:00
"Jual Mepet NJOP Rumah 2 Lantai Kelapa Gading, Jalan Lebar, One Gate System, Tidak Banjir, Dekat Mkg Moi Mag Harga,13M Nego",13000000000.0,Jakarta Utara,Kelapa Gading,6.0,5.0,2.0,310.0,312.0,2026-04-28T06:13:31.737922+00:00
Dijual Rumah Langka Garden House Pik 2.5 Lantai Unit Hoek 437M2,22000000000.0,Jakarta Utara,Pantai Indah Kapuk,5.0,4.0,1.0,437.0,520.0,2026-04-28T06:13:35.410293+00:00
Rumah Bukit Gading Mediterania Bagus Mewah Asri Kelapa Gading,15500000000.0,Jakarta Utara,Kelapa Gading,4.0,4.0,3.0,312.0,600.0,2026-04-28T06:13:38.344030+00:00
